DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Vrakuòa;Bratislava-Vrakuòa;Bratislava II;;;Pozri zoz.ulíc s PSÈ;102;BL;;;;;;;;;;;;;;;;;;;;;;;
Bratislava-Záhorská Bystrica;Bratislava-Záhorská Bystrica;Bratislava IV;;;Pozri zoz.ulíc s PSÈ;104;BL;;;;;;;;;;;;;;;;;;;;;;;
Braväcovo;Braväcovo;Brezno;976 64;Beòuš;Beòuš;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Brdárka;Brdárka;Roòava;049 34;Markuška;Markuška;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Brehov;Brehov;Trebišov;076 05;Cejkov;Cejkov;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Brehy;Brehy;arnovica;968 01;Nová Baòa;Nová Baòa;612;BC;;;;;;;;;;;;;;;;;;;;;;;
Brekov;Brekov;Humenné;066 01;Humenné 1;Humenné 1;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Brestov;Brestov;Humenné;066 01;Humenné 1;Humenné 1;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Brestov;Brestov;Prešov;082 05;Šarišské Bohdanovce;Šarišské Bohdanovce;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Brestov nad Laborcom;Brestov nad Laborcom;Medzilaborce;067 01;Radvaò nad Laborcom;Radvaò nad Laborcom;705;PV;;;;;;;;;;;;;;;;;;;;;;;
Brestovany;Brestovany;Trnava;919 27;Brestovany;Brestovany;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Brestové;Brestové;Nové Mesto n.Váhom;916 42;Moravské Lieskové;Moravské Lieskové;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Brestovec;Brestovec;Myjava;;;viï detail SÈ;303;TC;;;;;;;;;;;;;;;;;;;;;;;
Brestovec;Brestovec;Komárno;946 17;Sokolce na Ostrove;Sokolce na Ostrove;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Bretejovce;Bretejovce;Prešov;082 03;Lemešany;Lemešany;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Bretka;Bretka;Roòava;980 46;Gemerská Panica;Gemerská Panica;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Breza;Breza;Námestovo;029 53;Breza;Breza;507;ZI;;;;;;;;;;;;;;;;;;;;;;;
Brezany;Brezany;ilina;010 04;ilina 4;ilina 4;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Brezina;Brezina;Trebišov;076 12;Kuzmice;Kuzmice;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Breziny;Breziny;Zvolen;962 61;Dobrá Niva;Dobrá Niva;611;BC;;;;;;;;;;;;;;;;;;;;;;;
Breznica;Breznica;Stropkov;091 01;Stropkov;Stropkov;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Breznièka;Breznièka;Poltár;985 02;Kalinovo;Kalinovo;607;BC;;;;;;;;;;;;;;;;;;;;;;;
Breznièka;Breznièka;Stropkov;091 01;Stropkov;Stropkov;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Brezno;Brezno;Brezno;;;Pozri zoz.ulíc s PSÈ;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Brezolupy;Brezolupy;Bánovce nad Bebravou;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Brezov;Brezov;Bardejov;087 01;Giraltovce;Giraltovce;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Brezová pod Bradlom;Brezová pod Bradlom;Myjava;906 13;Brezová pod Bradlom;Brezová pod Bradlom;303;TC;;;;;;;;;;;;;;;;;;;;;;;
Brezovec;Brezovec;Snina;067 73;Ub¾a;Ub¾a;709;PV;;;;;;;;;;;;;;;;;;;;;;;
Brezovica;Brezovica;Sabinov;082 74;Brezovica nad Torysou;Brezovica nad Torys.;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Brezovica;Brezovica;Tvrdošín;028 01;Trstená;Trstená;510;ZI;;;;;;;;;;;;;;;;;;;;;;;
Brezovièka;Brezovièka;Sabinov;082 74;Brezovica nad Torysou;Brezovica nad Torys.;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Brezovka;Brezovka;Bardejov;086 11;Hrabovec;Hrabovec;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Breany;Breany;Prešov;082 41;Bajerov;Bajerov;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Brhlovce;Brhlovce;Levice;935 02;emberovce;emberovce;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Brieštie;Brieštie;Turèianske Teplice;038 22;Slovenské Pravno;Slovenské Pravno;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Brodské;Brodské;Skalica;908 85;Brodské;Brodské;206;TA;;;;;;;;;;;;;;;;;;;;;;;
Brodzany;Brodzany;Partizánske;958 42;Partizánske 1;Partizánske 1;305;TC;;;;;;;;;;;;;;;;;;;;;;;
Brunovce;Brunovce;Nové Mesto n.Váhom;916 25;Potvorice;Potvorice;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Brusnica;Brusnica;Stropkov;090 31;Kolbovce;Kolbovce;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Brusník;Brusník;Ve¾kı Krtíš;991 01;Senné;Senné;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Brusno;Brusno;Banská Bystrica;976 62;Brusno;Brusno;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Brutovce;Brutovce;Levoèa;053 73;Brutovce;Brutovce;704;PV;;;;;;;;;;;;;;;;;;;;;;;
Bruty;Bruty;Nové Zámky;943 55;Svodín;Svodín;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Brvnište;Brvnište;Povaská Bystrica;018 12;Brvnište;Brvnište;306;TC;;;;;;;;;;;;;;;;;;;;;;;
Brzotín;Brzotín;Roòava;049 51;Brzotín;Brzotín;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Buclovany;Buclovany;Bardejov;086 43;Koprivnica;Koprivnica;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Búè;Búè;Komárno;946 35;Búè;Búè;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Buèany;Buèany;Trnava;919 28;Buèany;Buèany;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Buèkovec;Buèkovec;Nové Mesto n.Váhom;916 42;Moravské Lieskové;Moravské Lieskové;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Budèa;Budèa;Zvolen;962 33;Budèa;Budèa;611;BC;;;;;;;;;;;;;;;;;;;;;;;
Budikovany;Budikovany;Rimavská Sobota;980 23;Teplı Vrch;Teplı Vrch;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Budimír;Budimír;Košice - okolie;044 43;Budimír;Budimír;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Budiná;Budiná;Luèenec;985 12;Tuhár;Tuhár;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Budince;Budince;Michalovce;076 77;Ruská;Ruská;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Budiš;Budiš;Turèianske Teplice;038 23;Dubové pri Turèianskych Tepliciach;Dubové pri Turè.Tep.;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Budkovce;Budkovce;Michalovce;;;viï detail SÈ;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Budmerice;Budmerice;Pezinok;900 86;Budmerice;Budmerice;107;BL;;;;;;;;;;;;;;;;;;;;;;;
Budulov;Budulov;Košice - okolie;045 01;Moldava nad Bodvou;Moldava nad Bodvou;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Buglovce;Buglovce;Levoèa;053 04;Spišské Podhradie;Spišské Podhradie;704;PV;;;;;;;;;;;;;;;;;;;;;;;
Buková;Buková;Trnava;919 10;Trstín;Trstín;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Bukovce;Bukovce;Stropkov;090 22;Bukovce;Bukovce;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Bukovec;Bukovec;Myjava;906 14;Brezová pod Bradlom;Brezová pod Bradlom;303;TC;;;;;;;;;;;;;;;;;;;;;;;
Bukovec;Bukovec;Košice - okolie;044 20;Malá Ida;Malá Ida;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Bukovina;Bukovina;Liptovskı Mikuláš;032 23;Liptovská Sielnica;Liptovská Sielnica;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Bulhary;Bulhary;Luèenec;986 01;Fi¾akovo;Fi¾akovo;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Bunetice;Bunetice;Košice - okolie;044 47;Kecerovce;Kecerovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Bunkovce;Bunkovce;Sobrance;072 44;Blatné Remety;Blatné Remety;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Bušince;Bušince;Ve¾kı Krtíš;991 22;Bušince;Bušince;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Bušovce;Bušovce;Kemarok;059 93;Bušovce;Bušovce;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Buzica;Buzica;Košice - okolie;044 73;Buzica;Buzica;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Buzice;Buzice;Košice - okolie;044 13;Valaliky;Valaliky;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Buzitka;Buzitka;Luèenec;985 41;Šávo¾;Šávo¾;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Byster;Byster;Košice - okolie;044 41;Sady nad Torysou;Sady nad Torysou;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Bystrá;Bystrá;Brezno;977 01;Brezno 1;Brezno 1;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Bystrá;Bystrá;Stropkov;090 23;Havaj;Havaj;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Bystrany;Bystrany;Spišská Nová Ves;053 62;Bystrany pri Spišskej Novej Vsi;Bystrany pri S.N.Vsi;810;KI;;;;;;;;;;;;;;;;;;;;;;;
Bystré;Bystré;Vranov nad Top¾ou;094 34;Bystré nad Top¾ou;Bystré nad Top¾ou;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Bystrièany;Bystrièany;Prievidza;972 45;Bystrièany;Bystrièany;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Bystrièka;Bystrièka;Martin;038 04;Bystrièka;Bystrièka;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Byšta;Byšta;Trebišov;076 13;Kazimír;Kazimír;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Bytèa;Bytèa;Bytèa;014 01;Bytèa 1;Bytèa 1;501;ZI;;;;;;;;;;;;;;;;;;;;;;;
Bzenica;Bzenica;iar nad Hronom;966 01;Hliník nad Hronom;Hliník nad Hronom;613;BC;;;;;;;;;;;;;;;;;;;;;;;
Bzenica;Bzenica;iar nad Hronom;966 02;Vyhne;Vyhne;613;BC;;;;;;;;;;;;;;;;;;;;;;;
Bzenov;Bzenov;Prešov;082 42;Bzenov;Bzenov;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Bzince pod Javorinou;Bzince pod Javorinou;Nové Mesto n.Váhom;916 11;Bzince pod Javorinou;Bzince pod Javorinou;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Bziny;Bziny;Dolnı Kubín;026 01;Dolnı Kubín 1;Dolnı Kubín 1;503;ZI;;;;;;;;;;;;;;;;;;;;;;;
Bzovík;Bzovík;Krupina;962 41;Bzovík;Bzovík;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Bzovská Lehôtka;Bzovská Lehôtka;Zvolen;962 62;Sása;Sása;611;BC;;;;;;;;;;;;;;;;;;;;;;;
Bany;Bany;Stropkov;090 33;Turany nad Ondavou;Turany nad Ondavou;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Cabaj-Èápor;Cabaj - Èápor;Nitra;951 17;Cabaj-Èápor;Cabaj-Èápor;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Cabov;Cabov;Vranov nad Top¾ou;094 14;Seèovská Polianka;Seèovská Polianka;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Cakov;Cakov;Rimavská Sobota;980 42;Rimavská Seè;Rimavská Seè;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Cejkov;Cejkov;Trebišov;076 05;Cejkov;Cejkov;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Cernina;Cernina;Svidník;090 16;Cernina;Cernina;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Cerová;Cerová;Senica;906 33;Cerová;Cerová;205;TA;;;;;;;;;;;;;;;;;;;;;;;
Cerovo;Cerovo;Krupina;962 52;Cerovo pri Krupine;Cerovo pri Krupine;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Cestice;Cestice;Košice - okolie;044 71;Èeèejovce;Èeèejovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Cetuna;Cetuna;Nové Mesto n.Váhom;916 11;Bzince pod Javorinou;Bzince pod Javorinou;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Cífer;Cífer;Trnava;919 43;Cífer;Cífer;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Cige¾;Cige¾;Prievidza;971 01;Prievidza 1;Prievidza 1;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Cige¾ka;Cige¾ka;Bardejov;086 02;Gaboltov;Gaboltov;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Cigla;Cigla;Svidník;086 37;Šarišské Èierne;Šarišské Èierne;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Cimenná;Cimenná;Bánovce nad Bebravou;956 37;Zlatníky pri Bánovciach nad Bebravou;Zlatníky pri Bánov.;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Cinobaòa;Cinobaòa;Poltár;985 22;Cinobaòa;Cinobaòa;607;BC;;;;;;;;;;;;;;;;;;;;;;;
Cinobaòa - ih¾ava;ih¾ava;Poltár;985 45;Látky;Látky;607;BC;;;;;;;;;;;;;;;;;;;;;;;
Èab;Èab;Nitra;951 24;Nové Sady pri Nitre;Nové Sady pri Nitre;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Èabalovce;Èabalovce;Medzilaborce;067 16;Vırava;Vırava;705;PV;;;;;;;;;;;;;;;;;;;;;;;
Èabiny;Èabiny;Medzilaborce;067 02;Èabiny;Èabiny;705;PV;;;;;;;;;;;;;;;;;;;;;;;
Èabradskı Vrbovok;Èabradskı Vrbovok;Krupina;962 51;Èabradskı Vrbovok;Èabradskı Vrbovok;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Èadca;Èadca;Èadca;;;Pozri zoz.ulíc s PSÈ;502;ZI;;;;;;;;;;;;;;;;;;;;;;;
Èachtice;Èachtice;Nové Mesto n.Váhom;916 21;Èachtice;Èachtice;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Èajkov;Èajkov;Levice;935 24;Èajkov;Èajkov;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Èaka;Èaka;Levice;935 68;Farná pri Hrone;Farná pri Hrone;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Èakajovce;Èakajovce;Nitra;951 43;Jelšovce;Jelšovce;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Èakanovce;Èakanovce;Košice - okolie;044 45;Bidovce;Bidovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Èakanovce;Èakanovce;Luèenec;985 58;Radzovce;Radzovce;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Èakany;Èakany;Dunajská Streda;930 40;Štvrtok na Ostrove;Štvrtok na Ostrove;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Èaklov;Èaklov;Vranov nad Top¾ou;094 35;So¾;So¾;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Èalovec;Èalovec;Komárno;946 02;Èalovec;Èalovec;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Èamovce;Èamovce;Luèenec;986 01;Fi¾akovo;Fi¾akovo;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Èaòa;Èaòa;Košice - okolie;044 14;Èaòa;Èaòa;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Èaradice;Èaradice;Zlaté Moravce;953 01;Zlaté Moravce 1;Zlaté Moravce 1;407;NI;;;;;;;;;;;;;;;;;;;;;;;
Èáry;Èáry;Senica;908 43;Èáry;Èáry;205;TA;;;;;;;;;;;;;;;;;;;;;;;
Èastá;Èastá;Pezinok;900 89;Èastá;Èastá;107;BL;;;;;;;;;;;;;;;;;;;;;;;
Èastkov;Èastkov;Senica;906 04;Senica 1;Senica 1;205;TA;;;;;;;;;;;;;;;;;;;;;;;
Èastkovce;Èastkovce;Nové Mesto n.Váhom;916 27;Èastkovce;Èastkovce;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Èata;Èata;Levice;935 63;Èata;Èata;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Èataj;Èataj;Senec;900 83;Èataj;Èataj;108;BL;;;;;;;;;;;;;;;;;;;;;;;
Èavoj;Èavoj;Prievidza;972 29;Èavoj;Èavoj;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Èebovce;Èebovce;Ve¾kı Krtíš;991 25;Èebovce;Èebovce;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Èeèehov;Èeèehov;Michalovce;072 11;Èeèehov;Èeèehov;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Èeèejovce;Èeèejovce;Košice - okolie;044 71;Èeèejovce;Èeèejovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Èechy;Èechy;Nové Zámky;941 32;Semerovo;Semerovo;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Èechynce;Èechynce;Nitra;951 07;Èechynce;Èechynce;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Èekovce;Èekovce;Krupina;;;viï detail SÈ;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Èe¾adice;Èe¾adice;Nitra;951 03;Pohranice;Pohranice;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Èe¾adince;Èe¾adince;Topo¾èany;956 16;Nitrianska Streda;Nitrianska Streda;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Èeláre;Èeláre;Ve¾kı Krtíš;991 22;Bušince;Bušince;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Èelkova Lehota;Èelkova Lehota;Povaská Bystrica;018 16;Domania;Domania;306;TC;;;;;;;;;;;;;;;;;;;;;;;
Èelovce;Èelovce;Ve¾kı Krtíš;991 41;Èelovce;Èelovce;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Èelovce;Èelovce;Prešov;082 14;Pušovce;Pušovce;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Èe¾ovce;Èe¾ovce;Trebišov;076 17;Ninı ipov;Ninı ipov;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Èenkovce;Èenkovce;Dunajská Streda;930 39;Zlaté Klasy;Zlaté Klasy;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Èereòany;Èereòany;Prievidza;972 46;Èereòany;Èereòany;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Èerenèany;Èerenèany;Rimavská Sobota;979 01;Rimavská Sobota 1;Rimavská Sobota 1;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Èerhov;Èerhov;Trebišov;076 81;Micha¾any pri Trebišove;Micha¾any pri Trebišove;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Èerín - Èaèín;Èaèín;Banská Bystrica;974 01;Banská Bystrica 1;Banská Bystrica 1;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Èermany;Èermany;Topo¾èany;956 08;Horné Obdokovce;Horné Obdokovce;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Èerník;Èerník;Nové Zámky;941 05;Èerník;Èerník;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Èernina;Èernina;Humenné;067 23;Baškovce pri Humennom;Baškovce pri Humen.;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Èernochov;Èernochov;Trebišov;076 32;Borša;Borša;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Èernochov Vrch;Èernochov Vrch;Nové Mesto n.Váhom;916 01;Stará Turá;Stará Turá;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Èertiné;Èertiné;Medzilaborce;067 52;Habura;Habura;705;PV;;;;;;;;;;;;;;;;;;;;;;;
Èervená Voda;Èervená Voda;Sabinov;083 01;Sabinov;Sabinov;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Èerveòany;Èerveòany;Ve¾kı Krtíš;991 01;Senné;Senné;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Èervenica;Èervenica;Prešov;082 07;Tuhrina;Tuhrina;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Èervenica pri Sabinove;Èervenica pri Sabin.;Sabinov;082 56;Peèovská Nová Ves;Peèovská Nová Ves;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Èerveník;Èerveník;Hlohovec;920 42;Leopoldov;Leopoldov;203;TA;;;;;;;;;;;;;;;;;;;;;;;
Èervenı Hrádok;Èervenı Hrádok;Zlaté Moravce;951 82;Malé Vozokany;Malé Vozokany;407;NI;;;;;;;;;;;;;;;;;;;;;;;
Èervenı Kameò;Èervenı Kameò;Ilava;018 56;Mikušovce;Mikušovce;302;TC;;;;;;;;;;;;;;;;;;;;;;;
Èervenı Kláštor;Èervenı Kláštor;Kemarok;059 06;Èervenı Kláštor;Èervenı Kláštor;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Èeské Brezovo;Èeské Brezovo;Poltár;985 03;Èeské Brezovo;Èeské Brezovo;607;BC;;;;;;;;;;;;;;;;;;;;;;;
Èièarovce;Èièarovce;Michalovce;076 71;Ve¾ké Kapušany;Ve¾ké Kapušany;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Èièava;Èièava;Vranov nad Top¾ou;093 01;Vranov nad Top¾ou 1;Vranov nad Top¾ou 1;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Èièmany;Èièmany;ilina;013 15;Rajecká Lesná;Rajecká Lesná;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Èíèov;Èíèov;Komárno;946 19;Èíèov;Èíèov;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Èierna;Èierna;Trebišov;076 43;Èierna nad Tisou;Èierna nad Tisou;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Èierna Hora;Èierna Hora;Gelnica;053 33;Nálepkovo;Nálepkovo;801;KI;;;;;;;;;;;;;;;;;;;;;;;
Èierna Lehota;Èierna Lehota;Bánovce nad Bebravou;956 53;Slatina nad Bebravou;Slatina nad Bebravou;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Èierna Lehota;Èierna Lehota;Roòava;049 36;Slavošovce;Slavošovce;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Èierna nad Tisou;Èierna nad Tisou;Trebišov;076 43;Èierna nad Tisou;Èierna nad Tisou;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Èierna Voda;Èierna Voda;Galanta;925 06;Èierna Voda;Èierna Voda;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Èierne;Èierne;Èadca;023 13;Èierne pri Èadci;Èierne pri Èadci;502;ZI;;;;;;;;;;;;;;;;;;;;;;;
Èierne K¾aèany;Èierne K¾aèany;Zlaté Moravce;953 05;Zlaté Moravce 5;Zlaté Moravce 5;407;NI;;;;;;;;;;;;;;;;;;;;;;;
Èierne nad Top¾ou;Èierne nad Top¾ou;Vranov nad Top¾ou;094 34;Bystré nad Top¾ou;Bystré nad Top¾ou;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Èierne Pole;Èierne Pole;Michalovce;079 01;Ve¾ké Kapušany;Ve¾ké Kapušany;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Èierny Balog;Èierny Balog;Brezno;976 52;Èierny Balog;Èierny Balog;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Èierny Brod;Èierny Brod;Galanta;925 08;Èierny Brod;Èierny Brod;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Èierny Chrbát;Èierny Chrbát;Komárno;946 03;Kolárovo;Kolárovo;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Èierny Potok;Èierny Potok;Rimavská Sobota;980 31;Hodejov;Hodejov;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Èifáre;Èifáre;Nitra;951 61;Vráble;Vráble;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Èiliská Radvaò;Èiliská Radvaò;Dunajská Streda;930 08;Èiliská Radvaò;Èiliská Radvaò;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Èimhová;Èimhová;Tvrdošín;027 12;Liesek;Liesek;510;ZI;;;;;;;;;;;;;;;;;;;;;;;
Èirè;Èirè;Stará ¼ubovòa;065 42;Èirè;Èirè;710;PV;;;;;;;;;;;;;;;;;;;;;;;
Èí;Èí;Rimavská Sobota;980 43;Èí;Èí;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Èiatice;Èiatice;Košice - okolie;044 47;Kecerovce;Kecerovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Èoltovo;Èoltovo;Roòava;049 12;Gemerská Hôrka;Gemerská Hôrka;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Èremošné;Èremošné;Turèianske Teplice;039 01;Turèianske Teplice;Turèianske Teplice;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Èuèma;Èuèma;Roòava;048 01;Roòava 1;Roòava 1;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Èukalovce;Èukalovce;Snina;067 35;Pèoliné;Pèoliné;709;PV;;;;;;;;;;;;;;;;;;;;;;;
Ïaèov;Ïaèov;Sabinov;082 71;Lipany nad Torysou;Lipany nad Torysou;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Daèov Lom;Daèov Lom;Ve¾kı Krtíš;991 35;Daèov Lom;Daèov Lom;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Daletice;Daletice;Sabinov;082 63;Jarovnice;Jarovnice;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Danišovce;Danišovce;Spišská Nová Ves;053 22;Odorín;Odorín;810;KI;;;;;;;;;;;;;;;;;;;;;;;
Ïanová;Ïanová;Martin;038 42;Príbovce;Príbovce;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Ïapalovce;Ïapalovce;Vranov nad Top¾ou;094 05;Holèíkovce;Holèíkovce;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Dargov;Dargov;Trebišov;076 61;Baèkov;Baèkov;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Davidov;Davidov;Vranov nad Top¾ou;093 03;Vranov nad Top¾ou 3;Vranov nad Top¾ou 3;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Debraï;Debraï;Košice - okolie;045 01;Moldava nad Bodvou;Moldava nad Bodvou;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Dedaèov;Dedaèov;Humenné;067 12;Koškovce;Koškovce;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Dedina Mládee;Dedina Mládee;Komárno;946 03;Kolárovo;Kolárovo;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Dedinka;Dedinka;Nové Zámky;941 50;Dedinka;Dedinka;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Dedinky;Dedinky;Roòava;049 73;Dedinky;Dedinky;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Dechtice;Dechtice;Trnava;919 53;Dechtice;Dechtice;207;TA;;;;;;;;;;;;;;;;;;;;;;;
